# BUSCO version is: 5.4.6 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2020-03-06, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	NODE_67_length_15578_cov_180.450035	3455	7654	-	2470.4	1220	https://www.orthodb.org/v10?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	NODE_67_length_15578_cov_180.450035	7719	11792	-	2322.6	1229	https://www.orthodb.org/v10?query=208at72274	DNA-directed RNA polymerase subunit beta
209at72274	Complete	NODE_5_length_402621_cov_147.526101	107754	112199	-	2316.3	1261	https://www.orthodb.org/v10?query=209at72274	Glutamate synthase
299at72274	Complete	NODE_11_length_334013_cov_140.442747	174672	178577	-	1527.6	1001	https://www.orthodb.org/v10?query=299at72274	ATP-dependent helicase
391at72274	Complete	NODE_16_length_238046_cov_145.620274	171684	175583	+	1913.5	1067	https://www.orthodb.org/v10?query=391at72274	phosphoribosylformylglycinamidine synthase
395at72274	Complete	NODE_13_length_260894_cov_132.127653	248370	252077	+	2039.5	1066	https://www.orthodb.org/v10?query=395at72274	methionine synthase
436at72274	Complete	NODE_15_length_244030_cov_148.643837	25222	28443	-	1798.1	905	https://www.orthodb.org/v10?query=436at72274	carbamoyl phosphate synthase large subunit
457at72274	Complete	NODE_23_length_178631_cov_143.445619	3678	7352	+	967.9	774	https://www.orthodb.org/v10?query=457at72274	RecBCD enzyme subunit RecB
543at72274	Complete	NODE_33_length_121973_cov_148.256637	68381	72334	+	1678.5	976	https://www.orthodb.org/v10?query=543at72274	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
606at72274	Complete	NODE_20_length_193810_cov_149.550588	37416	40841	-	1560.6	932	https://www.orthodb.org/v10?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	NODE_35_length_113010_cov_137.280653	37312	40986	+	1142.2	1038	https://www.orthodb.org/v10?query=712at72274	translocation/assembly module TamB
813at72274	Complete	NODE_16_length_238046_cov_145.620274	104295	107141	-	1338.6	743	https://www.orthodb.org/v10?query=813at72274	valine--tRNA ligase
865at72274	Complete	NODE_71_length_12031_cov_149.135519	2083	4914	-	1257.0	756	https://www.orthodb.org/v10?query=865at72274	isoleucine--tRNA ligase
927at72274	Complete	NODE_11_length_334013_cov_140.442747	322027	324906	+	1203.8	753	https://www.orthodb.org/v10?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	NODE_50_length_49015_cov_148.206976	9210	11912	+	1074.2	699	https://www.orthodb.org/v10?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	NODE_14_length_248483_cov_144.560884	114131	117064	-	1055.0	665	https://www.orthodb.org/v10?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	NODE_42_length_81153_cov_141.241613	37108	39906	+	1240.2	774	https://www.orthodb.org/v10?query=1036at72274	DNA polymerase I
