# BUSCO version is: 5.4.6 
# The lineage dataset is: flavobacteriales_odb10 (Creation date: 2021-02-23, number of genomes: 213, number of BUSCOs: 733)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
11at200644	Complete	NODE_7_length_264771_cov_118.253319	227156	234415	+	1908.8	1621	https://www.orthodb.org/v10?query=11at200644	cell surface protein SprA
179at200644	Complete	NODE_30_length_35241_cov_106.927966	16174	20478	-	2302.6	1222	https://www.orthodb.org/v10?query=179at200644	DNA-directed RNA polymerase subunit beta'
250at200644	Complete	NODE_30_length_35241_cov_106.927966	20751	24563	-	2143.2	1098	https://www.orthodb.org/v10?query=250at200644	DNA-directed RNA polymerase subunit beta
310at200644	Complete	NODE_15_length_110944_cov_127.284305	54280	58815	+	1850.3	1070	https://www.orthodb.org/v10?query=310at200644	DNA polymerase III subunit alpha
374at200644	Complete	NODE_6_length_276926_cov_125.985664	98646	102047	+	1704.0	969	https://www.orthodb.org/v10?query=374at200644	isoleucine--tRNA ligase
400at200644	Complete	NODE_1_length_456364_cov_112.868065	61785	65456	+	1341.3	986	https://www.orthodb.org/v10?query=400at200644	phosphoribosylformylglycinamidine synthase
466at200644	Complete	NODE_19_length_100154_cov_100.450313	29575	34083	+	1178.6	1219	https://www.orthodb.org/v10?query=466at200644	N-acetyl-gamma-glutamyl-phosphate reductase
546at200644	Complete	NODE_11_length_155872_cov_119.502224	43354	46209	-	1336.7	791	https://www.orthodb.org/v10?query=546at200644	carbamoyl phosphate synthase large subunit
578at200644	Complete	NODE_4_length_402712_cov_123.715807	320927	324292	+	1589.9	950	https://www.orthodb.org/v10?query=578at200644	Transcription-repair-coupling factor
1254at200644	Complete	NODE_1_length_456364_cov_112.868065	377235	380576	+	1460.3	879	https://www.orthodb.org/v10?query=1254at200644	Protein translocase subunit SecA
1693at200644	Complete	NODE_9_length_231551_cov_118.522128	213336	216185	+	1346.9	771	https://www.orthodb.org/v10?query=1693at200644	glycine dehydrogenase (aminomethyl-transferring)
1799at200644	Complete	NODE_7_length_264771_cov_118.253319	187085	189928	-	1277.9	767	https://www.orthodb.org/v10?query=1799at200644	DNA polymerase I
1981at200644	Complete	NODE_2_length_444736_cov_102.821490	112443	115163	+	1270.0	727	https://www.orthodb.org/v10?query=1981at200644	DNA topoisomerase (ATP-hydrolyzing)
2005at200644	Complete	NODE_6_length_276926_cov_125.985664	187122	190244	+	1218.4	756	https://www.orthodb.org/v10?query=2005at200644	leucine--tRNA ligase
2410at200644	Complete	NODE_4_length_402712_cov_123.715807	393839	396661	-	1219.3	732	https://www.orthodb.org/v10?query=2410at200644	2-oxoglutarate dehydrogenase E1 component
2665at200644	Complete	NODE_17_length_102075_cov_104.387713	29618	32029	-	1261.8	645	https://www.orthodb.org/v10?query=2665at200644	transketolase
2703at200644	Complete	NODE_7_length_264771_cov_118.253319	12055	14607	-	572.0	670	https://www.orthodb.org/v10?query=2703at200644	membrane protein
2769at200644	Complete	NODE_2_length_444736_cov_102.821490	380721	383321	+	1302.9	724	https://www.orthodb.org/v10?query=2769at200644	Chaperone protein ClpB
2807at200644	Complete	NODE_7_length_264771_cov_118.253319	224195	226486	+	1071.9	649	https://www.orthodb.org/v10?query=2807at200644	malic enzyme
2810at200644	Complete	NODE_2_length_444736_cov_102.821490	215185	217731	-	1297.2	710	https://www.orthodb.org/v10?query=2810at200644	Clp protease ClpC
2837at200644	Complete	NODE_1_length_456364_cov_112.868065	82855	85245	+	1228.3	687	https://www.orthodb.org/v10?query=2837at200644	3-hydroxyacyl-CoA dehydrogenase
2845at200644	Complete	NODE_10_length_184440_cov_109.260763	85211	87844	+	1292.6	745	https://www.orthodb.org/v10?query=2845at200644	valine--tRNA ligase
2862at200644	Complete	NODE_2_length_444736_cov_102.821490	217989	220628	+	1330.5	738	https://www.orthodb.org/v10?query=2862at200644	DNA gyrase subunit A
2874at200644	Complete	NODE_9_length_231551_cov_118.522128	57447	59642	-	1090.4	627	https://www.orthodb.org/v10?query=2874at200644	ATP-dependent DNA helicase RecQ
2889at200644	Complete	NODE_7_length_264771_cov_118.253319	209545	212604	+	971.4	703	https://www.orthodb.org/v10?query=2889at200644	quinol:cytochrome C oxidoreductase
3362at200644	Complete	NODE_14_length_132096_cov_114.007060	50867	53503	-	1093.1	719	https://www.orthodb.org/v10?query=3362at200644	alanine--tRNA ligase
3453at200644	Complete	NODE_18_length_101837_cov_96.220804	83858	86311	-	1127.9	665	https://www.orthodb.org/v10?query=3453at200644	Lon protease
3490at200644	Complete	NODE_13_length_133982_cov_97.331153	16229	18565	+	1072.9	634	https://www.orthodb.org/v10?query=3490at200644	DNA helicase
3585at200644	Complete	NODE_29_length_41587_cov_124.423898	392	2998	-	1179.3	738	https://www.orthodb.org/v10?query=3585at200644	DNA mismatch repair protein MutS
3668at200644	Complete	NODE_4_length_402712_cov_123.715807	11781	14087	-	1030.3	646	https://www.orthodb.org/v10?query=3668at200644	penicillin-binding protein
4028at200644	Complete	NODE_9_length_231551_cov_118.522128	157491	159647	-	1114.7	605	https://www.orthodb.org/v10?query=4028at200644	Elongation factor G
4233at200644	Complete	NODE_10_length_184440_cov_109.260763	154398	156587	+	1153.3	622	https://www.orthodb.org/v10?query=4233at200644	glutamine synthetase
4246at200644	Complete	NODE_10_length_184440_cov_109.260763	68009	70996	+	848.6	671	https://www.orthodb.org/v10?query=4246at200644	protein translocase subunit SecDF
4285at200644	Complete	NODE_16_length_109937_cov_127.019006	101879	104014	-	902.5	549	https://www.orthodb.org/v10?query=4285at200644	polyribonucleotide nucleotidyltransferase
4333at200644	Complete	NODE_31_length_24547_cov_118.130650	759	2705	+	1089.9	567	https://www.orthodb.org/v10?query=4333at200644	threonine--tRNA ligase
4532at200644	Complete	NODE_30_length_35241_cov_106.927966	3865	6129	-	1153.3	645	https://www.orthodb.org/v10?query=4532at200644	aconitate hydratase
4823at200644	Complete	NODE_10_length_184440_cov_109.260763	54145	57159	+	870.8	776	https://www.orthodb.org/v10?query=4823at200644	tetratricopeptide repeat protein
4905at200644	Complete	NODE_6_length_276926_cov_125.985664	104714	107872	+	574.3	552	https://www.orthodb.org/v10?query=4905at200644	DNA helicase UvrD
4947at200644	Complete	NODE_2_length_444736_cov_102.821490	310238	312688	+	913.5	636	https://www.orthodb.org/v10?query=4947at200644	primosomal protein N'
4983at200644	Complete	NODE_7_length_264771_cov_118.253319	1520	3484	-	749.1	514	https://www.orthodb.org/v10?query=4983at200644	penicillin-binding protein 2
5035at200644	Complete	NODE_4_length_402712_cov_123.715807	51834	53933	+	791.5	566	https://www.orthodb.org/v10?query=5035at200644	Ferrous iron transport protein B
5216at200644	Complete	NODE_2_length_444736_cov_102.821490	110421	112289	+	1019.2	539	https://www.orthodb.org/v10?query=5216at200644	DNA topoisomerase IV subunit B
5247at200644	Complete	NODE_7_length_264771_cov_118.253319	204437	207319	+	1108.5	740	https://www.orthodb.org/v10?query=5247at200644	translation initiation factor IF-2
5391at200644	Complete	NODE_28_length_42897_cov_116.345516	29511	31502	-	1077.0	560	https://www.orthodb.org/v10?query=5391at200644	excinuclease ABC subunit B
5426at200644	Complete	NODE_6_length_276926_cov_125.985664	123266	125266	+	1105.0	584	https://www.orthodb.org/v10?query=5426at200644	succinate dehydrogenase
5444at200644	Complete	NODE_6_length_276926_cov_125.985664	18245	20041	-	995.7	528	https://www.orthodb.org/v10?query=5444at200644	elongation factor 4
5548at200644	Complete	NODE_10_length_184440_cov_109.260763	64796	66736	+	1045.4	560	https://www.orthodb.org/v10?query=5548at200644	DNA gyrase subunit B
5588at200644	Complete	NODE_1_length_456364_cov_112.868065	291082	292878	-	979.9	530	https://www.orthodb.org/v10?query=5588at200644	GTP-binding protein
5706at200644	Complete	NODE_9_length_231551_cov_118.522128	199434	201461	+	959.6	577	https://www.orthodb.org/v10?query=5706at200644	peptidase M3
5908at200644	Complete	NODE_28_length_42897_cov_116.345516	39456	41678	-	1051.6	629	https://www.orthodb.org/v10?query=5908at200644	isocitrate dehydrogenase
5937at200644	Complete	NODE_22_length_88091_cov_118.808246	62086	64095	-	698.4	521	https://www.orthodb.org/v10?query=5937at200644	penicillin-binding protein
5975at200644	Complete	NODE_2_length_444736_cov_102.821490	263107	264993	+	982.5	536	https://www.orthodb.org/v10?query=5975at200644	Chaperone protein DnaK
6019at200644	Complete	NODE_6_length_276926_cov_125.985664	161785	163488	-	701.5	438	https://www.orthodb.org/v10?query=6019at200644	single-stranded-DNA-specific exonuclease RecJ
6140at200644	Complete	NODE_6_length_276926_cov_125.985664	232320	234710	+	599.9	463	https://www.orthodb.org/v10?query=6140at200644	Ribonucleoside-diphosphate reductase
6214at200644	Complete	NODE_2_length_444736_cov_102.821490	333352	335358	+	853.5	537	https://www.orthodb.org/v10?query=6214at200644	DNA ligase
6395at200644	Complete	NODE_13_length_133982_cov_97.331153	77	2185	-	1267.3	689	https://www.orthodb.org/v10?query=6395at200644	ATP-dependent DNA helicase RecG
7166at200644	Complete	NODE_4_length_402712_cov_123.715807	113101	114972	-	1020.7	536	https://www.orthodb.org/v10?query=7166at200644	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
7212at200644	Complete	NODE_2_length_444736_cov_102.821490	236724	238649	-	1023.6	492	https://www.orthodb.org/v10?query=7212at200644	peptidase M41
7336at200644	Complete	NODE_24_length_80313_cov_116.101725	39781	41631	-	931.8	527	https://www.orthodb.org/v10?query=7336at200644	glutamine--fructose-6-phosphate aminotransferase
7350at200644	Complete	NODE_2_length_444736_cov_102.821490	179267	180895	-	863.9	456	https://www.orthodb.org/v10?query=7350at200644	methylcrotonoyl-CoA carboxylase
7490at200644	Complete	NODE_18_length_101837_cov_96.220804	76717	78498	-	847.1	477	https://www.orthodb.org/v10?query=7490at200644	30S ribosomal protein S1
7497at200644	Complete	NODE_22_length_88091_cov_118.808246	70767	72833	-	759.7	455	https://www.orthodb.org/v10?query=7497at200644	DNA primase
7609at200644	Complete	NODE_27_length_45815_cov_126.655429	27898	29523	-	835.9	472	https://www.orthodb.org/v10?query=7609at200644	1-pyrroline-5-carboxylate dehydrogenase
7638at200644	Complete	NODE_2_length_444736_cov_102.821490	167562	169952	+	815.4	627	https://www.orthodb.org/v10?query=7638at200644	ATPase
7684at200644	Complete	NODE_6_length_276926_cov_125.985664	68661	70454	-	934.9	526	https://www.orthodb.org/v10?query=7684at200644	excinuclease ABC subunit C
7815at200644	Complete	NODE_19_length_100154_cov_100.450313	89521	91140	+	865.4	475	https://www.orthodb.org/v10?query=7815at200644	ABC transporter ATP-binding protein
7817at200644	Complete	NODE_4_length_402712_cov_123.715807	125339	127456	-	1019.7	565	https://www.orthodb.org/v10?query=7817at200644	glutamine--tRNA ligase
7858at200644	Complete	NODE_4_length_402712_cov_123.715807	166740	168317	+	898.7	460	https://www.orthodb.org/v10?query=7858at200644	ATP synthase subunit alpha
8144at200644	Complete	NODE_24_length_80313_cov_116.101725	61143	62945	+	836.7	503	https://www.orthodb.org/v10?query=8144at200644	glycerol acyltransferase
8175at200644	Complete	NODE_2_length_444736_cov_102.821490	40616	43078	+	783.0	602	https://www.orthodb.org/v10?query=8175at200644	membrane protein
8189at200644	Complete	NODE_16_length_109937_cov_127.019006	67220	69319	+	495.0	545	https://www.orthodb.org/v10?query=8189at200644	peptidyl-prolyl cis-trans isomerase
8340at200644	Complete	NODE_13_length_133982_cov_97.331153	31553	33106	-	666.5	434	https://www.orthodb.org/v10?query=8340at200644	two-component system response regulator
8362at200644	Complete	NODE_2_length_444736_cov_102.821490	2011	3624	+	796.1	444	https://www.orthodb.org/v10?query=8362at200644	CTP synthase
8460at200644	Complete	NODE_10_length_184440_cov_109.260763	31385	33604	-	966.1	616	https://www.orthodb.org/v10?query=8460at200644	RelA/SpoT family protein
8827at200644	Complete	NODE_32_length_24487_cov_136.300328	971	3025	+	1069.1	588	https://www.orthodb.org/v10?query=8827at200644	methionine--tRNA ligase
8891at200644	Complete	NODE_7_length_264771_cov_118.253319	91933	93477	-	650.0	421	https://www.orthodb.org/v10?query=8891at200644	ribonuclease G
9009at200644	Complete	NODE_29_length_41587_cov_124.423898	37155	39872	+	772.5	646	https://www.orthodb.org/v10?query=9009at200644	membrane protein
9060at200644	Complete	NODE_4_length_402712_cov_123.715807	130186	132366	-	790.7	514	https://www.orthodb.org/v10?query=9060at200644	ribonuclease R
9085at200644	Complete	NODE_5_length_321209_cov_91.435369	308591	311011	-	919.0	649	https://www.orthodb.org/v10?query=9085at200644	phenylalanine--tRNA ligase subunit beta
9128at200644	Complete	NODE_9_length_231551_cov_118.522128	41684	43567	+	919.5	535	https://www.orthodb.org/v10?query=9128at200644	molecular chaperone HtpG
9230at200644	Complete	NODE_18_length_101837_cov_96.220804	7778	9181	+	700.5	392	https://www.orthodb.org/v10?query=9230at200644	decarboxylase
9423at200644	Complete	NODE_1_length_456364_cov_112.868065	448841	450241	+	381.7	285	https://www.orthodb.org/v10?query=9423at200644	serine protease
9442at200644	Complete	NODE_4_length_402712_cov_123.715807	139300	140979	+	784.3	464	https://www.orthodb.org/v10?query=9442at200644	I3YUP0_AEQSU
9514at200644	Complete	NODE_2_length_444736_cov_102.821490	132375	133820	-	650.3	406	https://www.orthodb.org/v10?query=9514at200644	RNA methyltransferase
9569at200644	Complete	NODE_9_length_231551_cov_118.522128	32488	34269	-	781.0	476	https://www.orthodb.org/v10?query=9569at200644	arginine--tRNA ligase
9583at200644	Complete	NODE_10_length_184440_cov_109.260763	177621	179150	+	679.7	413	https://www.orthodb.org/v10?query=9583at200644	GMP synthase 
9712at200644	Complete	NODE_22_length_88091_cov_118.808246	25616	27244	+	831.1	461	https://www.orthodb.org/v10?query=9712at200644	molecular chaperone GroEL
9807at200644	Complete	NODE_22_length_88091_cov_118.808246	16614	19106	-	894.1	621	https://www.orthodb.org/v10?query=9807at200644	DNA topoisomerase I
9812at200644	Complete	NODE_4_length_402712_cov_123.715807	250815	252794	-	819.0	547	https://www.orthodb.org/v10?query=9812at200644	amidophosphoribosyltransferase
9831at200644	Complete	NODE_4_length_402712_cov_123.715807	382797	384548	-	835.3	488	https://www.orthodb.org/v10?query=9831at200644	aspartate--tRNA ligase
9981at200644	Complete	NODE_11_length_155872_cov_119.502224	54088	55815	+	720.3	457	https://www.orthodb.org/v10?query=9981at200644	phosphoglucomutase
9989at200644	Complete	NODE_1_length_456364_cov_112.868065	371555	373417	+	835.4	535	https://www.orthodb.org/v10?query=9989at200644	ABC transporter
9997at200644	Complete	NODE_9_length_231551_cov_118.522128	175174	176529	-	541.0	344	https://www.orthodb.org/v10?query=9997at200644	peptidoglycan synthetase
10042at200644	Complete	NODE_11_length_155872_cov_119.502224	55889	57718	+	749.9	503	https://www.orthodb.org/v10?query=10042at200644	antibiotic ABC transporter ATP-binding protein
10103at200644	Complete	NODE_16_length_109937_cov_127.019006	84877	87060	+	684.2	525	https://www.orthodb.org/v10?query=10103at200644	tail-specific protease
10122at200644	Complete	NODE_17_length_102075_cov_104.387713	12970	14055	-	472.4	292	https://www.orthodb.org/v10?query=10122at200644	DNA polymerase III subunit gamma/tau
10253at200644	Complete	NODE_10_length_184440_cov_109.260763	22874	24418	+	726.5	424	https://www.orthodb.org/v10?query=10253at200644	IMP dehydrogenase
10570at200644	Complete	NODE_4_length_402712_cov_123.715807	310789	312237	-	789.5	401	https://www.orthodb.org/v10?query=10570at200644	SUF system FeS cluster assembly, SufBD
10611at200644	Complete	NODE_7_length_264771_cov_118.253319	6003	7556	-	619.6	413	https://www.orthodb.org/v10?query=10611at200644	Bifunctional purine biosynthesis protein PurH
10626at200644	Complete	NODE_2_length_444736_cov_102.821490	222741	224729	-	426.9	477	https://www.orthodb.org/v10?query=10626at200644	chromosome segregation protein
10640at200644	Complete	NODE_10_length_184440_cov_109.260763	73003	74481	-	700.1	402	https://www.orthodb.org/v10?query=10640at200644	cysteine--tRNA ligase
10700at200644	Complete	NODE_30_length_35241_cov_106.927966	13990	15606	+	813.0	432	https://www.orthodb.org/v10?query=10700at200644	peptide chain release factor 3
10701at200644	Complete	NODE_1_length_456364_cov_112.868065	5880	7634	+	693.4	455	https://www.orthodb.org/v10?query=10701at200644	antibiotic ABC transporter ATP-binding protein
10736at200644	Complete	NODE_2_length_444736_cov_102.821490	19575	21485	-	658.9	442	https://www.orthodb.org/v10?query=10736at200644	DEAD/DEAH box helicase
11004at200644	Complete	NODE_29_length_41587_cov_124.423898	15666	17174	+	795.5	461	https://www.orthodb.org/v10?query=11004at200644	GH3 auxin-responsive promoter
11263at200644	Complete	NODE_24_length_80313_cov_116.101725	24566	26077	-	851.7	435	https://www.orthodb.org/v10?query=11263at200644	ATP synthase subunit beta
11321at200644	Complete	NODE_4_length_402712_cov_123.715807	260001	261434	+	699.5	422	https://www.orthodb.org/v10?query=11321at200644	pyruvate kinase
11324at200644	Complete	NODE_6_length_276926_cov_125.985664	167337	168797	-	632.4	427	https://www.orthodb.org/v10?query=11324at200644	RNA polymerase sigma-54 factor
11504at200644	Complete	NODE_14_length_132096_cov_114.007060	3802	5769	-	437.7	526	https://www.orthodb.org/v10?query=11504at200644	Putative porin-10
11644at200644	Complete	NODE_14_length_132096_cov_114.007060	15312	17015	+	839.4	459	https://www.orthodb.org/v10?query=11644at200644	lysine--tRNA ligase
11754at200644	Complete	NODE_14_length_132096_cov_114.007060	66391	67701	-	666.9	387	https://www.orthodb.org/v10?query=11754at200644	GTPase Der
11800at200644	Complete	NODE_22_length_88091_cov_118.808246	19432	20877	+	691.6	406	https://www.orthodb.org/v10?query=11800at200644	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
12145at200644	Complete	NODE_6_length_276926_cov_125.985664	138961	140310	+	769.0	393	https://www.orthodb.org/v10?query=12145at200644	acetyl-CoA carboxylase biotin carboxylase subunit
12296at200644	Complete	NODE_1_length_456364_cov_112.868065	296149	297627	-	795.8	428	https://www.orthodb.org/v10?query=12296at200644	proline--tRNA ligase
12619at200644	Complete	NODE_31_length_24547_cov_118.130650	12834	14378	-	812.0	432	https://www.orthodb.org/v10?query=12619at200644	replicative DNA helicase
12709at200644	Complete	NODE_4_length_402712_cov_123.715807	137773	139257	+	710.0	412	https://www.orthodb.org/v10?query=12709at200644	GH3 auxin-responsive promoter
12876at200644	Complete	NODE_7_length_264771_cov_118.253319	76288	77634	+	495.3	351	https://www.orthodb.org/v10?query=12876at200644	Deoxyguanosinetriphosphate triphosphohydrolase
12993at200644	Complete	NODE_22_length_88091_cov_118.808246	13758	15155	-	524.0	322	https://www.orthodb.org/v10?query=12993at200644	gliding motility lipoprotein GldK
13400at200644	Complete	NODE_18_length_101837_cov_96.220804	37335	38996	-	555.6	432	https://www.orthodb.org/v10?query=13400at200644	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
13431at200644	Complete	NODE_10_length_184440_cov_109.260763	7816	9594	-	621.3	459	https://www.orthodb.org/v10?query=13431at200644	ABC transporter
13442at200644	Complete	NODE_9_length_231551_cov_118.522128	171578	172855	+	634.3	360	https://www.orthodb.org/v10?query=13442at200644	ATPase AAA
13695at200644	Complete	NODE_11_length_155872_cov_119.502224	65071	66633	+	790.8	471	https://www.orthodb.org/v10?query=13695at200644	ribonuclease Y
13876at200644	Complete	NODE_10_length_184440_cov_109.260763	75421	76620	-	575.8	355	https://www.orthodb.org/v10?query=13876at200644	Aminotransferase
13918at200644	Complete	NODE_6_length_276926_cov_125.985664	110754	113546	+	694.5	694	https://www.orthodb.org/v10?query=13918at200644	PD-(D/E)XK endonuclease-like domain, AddAB-type
14069at200644	Complete	NODE_26_length_54538_cov_111.876076	3659	4909	+	713.2	373	https://www.orthodb.org/v10?query=14069at200644	ornithine--oxo-acid transaminase
14240at200644	Complete	NODE_30_length_35241_cov_106.927966	27929	29116	-	681.7	342	https://www.orthodb.org/v10?query=14240at200644	Elongation factor Tu
14305at200644	Complete	NODE_11_length_155872_cov_119.502224	132268	134178	-	613.7	425	https://www.orthodb.org/v10?query=14305at200644	DNA mismatch repair protein MutL
14332at200644	Complete	NODE_2_length_444736_cov_102.821490	229451	231133	-	324.2	342	https://www.orthodb.org/v10?query=14332at200644	OstA-like protein
14352at200644	Complete	NODE_14_length_132096_cov_114.007060	22598	23884	-	637.6	368	https://www.orthodb.org/v10?query=14352at200644	Glutamate-1-semialdehyde 2,1-aminomutase
14390at200644	Complete	NODE_1_length_456364_cov_112.868065	389147	390493	+	535.0	376	https://www.orthodb.org/v10?query=14390at200644	adenylosuccinate lyase
14412at200644	Complete	NODE_10_length_184440_cov_109.260763	13264	14541	-	582.7	344	https://www.orthodb.org/v10?query=14412at200644	peptidase T
14558at200644	Complete	NODE_4_length_402712_cov_123.715807	32711	34165	-	508.3	391	https://www.orthodb.org/v10?query=14558at200644	Histidine kinase
14629at200644	Duplicated	NODE_17_length_102075_cov_104.387713	46895	48283	+	627.0	385	https://www.orthodb.org/v10?query=14629at200644	phosphoglucosamine mutase
14629at200644	Duplicated	NODE_25_length_60722_cov_92.279990	58963	60345	-	607.2	382	https://www.orthodb.org/v10?query=14629at200644	phosphoglucosamine mutase
14634at200644	Complete	NODE_6_length_276926_cov_125.985664	196493	197833	+	659.6	361	https://www.orthodb.org/v10?query=14634at200644	dihydroorotase
14756at200644	Complete	NODE_16_length_109937_cov_127.019006	4462	5850	+	729.0	394	https://www.orthodb.org/v10?query=14756at200644	Peptidase dimerization domain protein
14824at200644	Complete	NODE_2_length_444736_cov_102.821490	36055	37356	+	710.9	374	https://www.orthodb.org/v10?query=14824at200644	8-amino-7-oxononanoate synthase
14979at200644	Complete	NODE_1_length_456364_cov_112.868065	183	2012	-	702.8	352	https://www.orthodb.org/v10?query=14979at200644	transcription termination factor Rho
15018at200644	Complete	NODE_4_length_402712_cov_123.715807	308149	309465	-	507.5	353	https://www.orthodb.org/v10?query=15018at200644	SUF system FeS cluster assembly, SufBD
15178at200644	Complete	NODE_30_length_35241_cov_106.927966	10472	11902	-	461.2	373	https://www.orthodb.org/v10?query=15178at200644	peptidyl-prolyl cis-trans isomerase
15219at200644	Complete	NODE_2_length_444736_cov_102.821490	392963	394237	+	702.6	362	https://www.orthodb.org/v10?query=15219at200644	serine hydroxymethyltransferase
15223at200644	Complete	NODE_24_length_80313_cov_116.101725	46785	48146	+	677.5	372	https://www.orthodb.org/v10?query=15223at200644	DNA repair protein RadA
15597at200644	Complete	NODE_1_length_456364_cov_112.868065	432833	434260	+	705.6	404	https://www.orthodb.org/v10?query=15597at200644	Chromosomal replication initiator protein DnaA
15655at200644	Complete	NODE_27_length_45815_cov_126.655429	38273	39769	-	649.1	398	https://www.orthodb.org/v10?query=15655at200644	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
15656at200644	Complete	NODE_7_length_264771_cov_118.253319	121938	123623	+	680.1	436	https://www.orthodb.org/v10?query=15656at200644	gliding motility lipoprotein GldJ
15729at200644	Complete	NODE_6_length_276926_cov_125.985664	169469	170914	-	718.2	409	https://www.orthodb.org/v10?query=15729at200644	asparagine--tRNA ligase
15746at200644	Complete	NODE_4_length_402712_cov_123.715807	119249	120754	+	632.4	403	https://www.orthodb.org/v10?query=15746at200644	glutamate--tRNA ligase
15759at200644	Complete	NODE_28_length_42897_cov_116.345516	16992	18215	-	592.8	343	https://www.orthodb.org/v10?query=15759at200644	diaminopimelate decarboxylase
15770at200644	Complete	NODE_22_length_88091_cov_118.808246	59317	60546	-	618.9	366	https://www.orthodb.org/v10?query=15770at200644	Phospho-N-acetylmuramoyl-pentapeptide-transferase
15811at200644	Complete	NODE_1_length_456364_cov_112.868065	86015	87196	+	636.6	350	https://www.orthodb.org/v10?query=15811at200644	acetyl-CoA acetyltransferase
15823at200644	Complete	NODE_1_length_456364_cov_112.868065	300464	301777	+	790.0	404	https://www.orthodb.org/v10?query=15823at200644	ribosomal protein S12 methylthiotransferase RimO
15827at200644	Complete	NODE_1_length_456364_cov_112.868065	242410	243810	+	479.0	355	https://www.orthodb.org/v10?query=15827at200644	anthranilate synthase
15922at200644	Complete	NODE_1_length_456364_cov_112.868065	18547	19935	+	681.6	400	https://www.orthodb.org/v10?query=15922at200644	dihydrolipoyl dehydrogenase
16007at200644	Complete	NODE_4_length_402712_cov_123.715807	170385	171845	+	490.6	388	https://www.orthodb.org/v10?query=16007at200644	polysaccharide biosynthesis protein
16079at200644	Complete	NODE_1_length_456364_cov_112.868065	425458	426885	-	604.8	374	https://www.orthodb.org/v10?query=16079at200644	histidine--tRNA ligase
16096at200644	Complete	NODE_27_length_45815_cov_126.655429	23557	24747	-	553.8	336	https://www.orthodb.org/v10?query=16096at200644	Aminotransferase
16111at200644	Complete	NODE_9_length_231551_cov_118.522128	140378	141670	-	708.2	378	https://www.orthodb.org/v10?query=16111at200644	Enolase
16193at200644	Complete	NODE_7_length_264771_cov_118.253319	38272	39522	-	671.1	355	https://www.orthodb.org/v10?query=16193at200644	methionine adenosyltransferase
16221at200644	Complete	NODE_29_length_41587_cov_124.423898	25665	26987	-	351.8	315	https://www.orthodb.org/v10?query=16221at200644	trigger factor
16290at200644	Complete	NODE_2_length_444736_cov_102.821490	129235	130392	+	482.9	319	https://www.orthodb.org/v10?query=16290at200644	DNA methylase
16316at200644	Complete	NODE_22_length_88091_cov_118.808246	60626	62089	-	649.2	407	https://www.orthodb.org/v10?query=16316at200644	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
